56720;'XSt74LmSChf';'Zambezia';;1
56721;'kkas4XXKZo7';'Cidade de Quelimane';56720;2
56722;'EIf2GnnMMg6';'Ile';56720;2
56723;'Fw1K3nvD9tF';'Lugela';56720;2
56724;'Wxqq1fpAzbq';'Maganja da Costa';56720;2
56725;'oDbzuQ0jVTQ';'Mocuba';56720;2
56726;'on5XN2yVidd';'Mopeia';56720;2
56727;'FYuCh2k5onU';'Morrumbala';56720;2
56728;'oaufbpFlx8s';'Namacurra';56720;2
56729;'ONWXcDE5YxH';'Nicoadala';56720;2
56730;'DrEVEcoBj2H';'Pebane';56720;2
56731;'ICiO90IDLZa';'Mocubela';56720;2
56732;'tNkNR3OfQ6M';'HP Quelimane';56721;3
56733;'Bj6eef38Zh6';'CS 17 de Setembro';56721;3
56734;'rAlTsVJ48ya';'CS 24 de Julho';56721;3
56735;'CGyegDdxAJJ';'CS 4 de Dezembro';56721;3
56736;'xqyuSG6gT1t';'CS Namuinho';56721;3
56737;'y2r7MnIF1k6';'CS Sangarivera';56721;3
56739;'z9ZyThDF7v4';'CS Chabeco';56721;3
56740;'gKSNVqB2QFH';'CS Incidua';56721;3
56741;'Wdcm1cgfnPh';'CS Ile';56722;3
56742;'iTlPsveDv8n';'CS Lugela';56723;3
56743;'sdeLu47WbBj';'HD Maganja da Costa';56724;3
56744;'Dd6BXh8pEhA';'HD Mocuba';56725;3
56745;'sujQGfRiu24';'CS Mocuba';56725;3
56746;'VPCtryKVY7P';'CS Mopeia';56726;3
56747;'dqv1LgnSOnS';'HD Morrumbala';56727;3
56748;'wTSoXpG19x5';'CS Namacurra';56728;3
56749;'WeH5nQM12eH';'CS Maquival Rio';56729;3
56750;'vZ5BidRNYRA';'CS Nicoadala';56729;3
56751;'fEytb3hPo3E';'CS Pebane';56730;3
56752;'salw5G4YBFA';'CS Mocubela';56731;3
56759;'OJ0QdTsu52k';'1. MOZ Test Region';;1
56760;'qC4pc2Jx4Qk';'MOZ Outlet 1';56759;2
56761;'pqd0tpwMmmH';'MOZ Outlet 2';56759;2
56762;'Gx6z0qotikU';'MOZ outlet 1 test 1';56760;3
56763;'N5ylkPj5VS2';'MOZ outlet 1 test 2';56760;3
56764;'JUMPyvlnEob';'MOZ outlet 2 test 1';56761;3
56765;'wZSedLBJgpf';'MOZ outlet 2 test 2';56761;3
67394;'C8mbVfM9ITZ';'Nampula';;1
69138;'dWz0FmTWohc';'CS Coalane';56721;3
69140;'tYmtRLAXORF';'Gurua';56720;2
69141;'UvWyLcMUDkg';'HR Gurua';69140;3
69142;'wakPFhhtFZe';'CS Lioma';69140;3
69143;'gKPRdaS2eK2';'Inhasunge';56720;2
69144;'jUMfOCdCKZE';'CS Inhasunge';69143;3
69145;'LKXBuCOR5w6';'Milange';56720;2
69146;'oFd38g73Q0j';'HR Milange';69145;3
69147;'qSncpbqf0JN';'CS Maquival Sede';56729;3
69148;'rx66mGjNUXB';'Angoche';67394;2
69149;'M6O5t3Fg80J';'CS Namitoria';69148;3
69150;'hDPPpekgapu';'HR Angoche';69148;3
69151;'JRZwkr29Z4i';'Ciadade de Nampula';67394;2
