1;'AgeUnit';1
2;'AvailableNotYesRecent';1
3;'Gender';1
4;'Officer';1
5;'MALdiagnose2';1
6;'PresentFunctional';1
7;'PositiveNegative';1
9;'ReportingFormat';1
10;'TestType';1
11;'Water';1
12;'Treatment';1
13;'Yes0No1';1
14;'Yes1Apparent1Asked';1
15;'Yes1No0';1
16;'Yes1No1NotAsked0';1
17;'Yes1No1Unk1Asked0';1
18;'YesNormal1YesAbnormal1No0';1
19;'Yes1NotAvailable1No0';1
24;'Positive Integer or Zero';2
25;'Text (Long)';3
26;'Text';4
27;'date';5
28;'Positive Integer';6
33;'ANClocation';1
34;'Asked';1
35;'DoneCBHorizontal';8
36;'Feedback';1
37;'HealthFacilityLevel';1
38;'MALdiagnose';1
39;'NoPartiallyCompletely';1
40;'MALspecies';1
41;'MALresults';1
42;'Problem';1
43;'SymptonPresence';1
44;'TestResult';1
45;'Yes1No0NA0';1
46;'Yes1No0Asked0';1
48;'Yes0No1Asked0NA1';1
49;'Label';7
50;'Diagnosis';1
51;'Treatment2';1
53;'Yes1No0CBHorizontal';8
54;'Yes1No1Asked0Male1CBVertical';9
55;'Yes1No1Asked0Applicable1CBVertical';9
56;'Yes1No0Prescribed1CBVertical';9
57;'Yes1No0NA1';1
58;'Yes1No0NotAvailable1';1
59;'Yes1No0Applicable1';1
60;'Yes0No1Unk0CBVertical';9
61;'TestType3';1
62;'TestType2';1
63;'SevereNonsevereCBVertical';9
64;'Power';1
65;'PharmacyClinical';1
66;'PatientInfoRec';1
67;'Officer2';1
68;'NormalAbnormalCBVertical';9
69;'MALresults2';1
70;'AntiMalTreatment';1
72;'GenderCBHorizontal';8
73;'GenderCBVertical';9
74;'Yes0No1CBHorizontal';8
75;'Yes1No0NotAvailable1CBVertical';9
76;'Yes1No0NA1CBHorizontal';8
77;'Yes1No1Asked0CBHorizontal';8
78;'Yes1No1NotAsked0CBVertical';9
79;'Counting';1
80;'Duration';1
81;'PresentFunctionalCBVertical';9
82;'DoneCBVertical';9
83;'Yes1No0NA1CBVertical';9
84;'GHA_FacilityType';1
85;'GHA_FacilityOwn';1
86;'GHA_Cadre';1
87;'GHA_Officer';1
